Contiguous U.S., Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2012
Missing: -9999
Date,Value,Anomaly
189512,50.34,-1.83
189612,51.99,-0.18
189712,51.56,-0.61
189812,51.43,-0.74
189912,51.01,-1.16
190012,52.77,0.60
190112,51.87,-0.30
190212,51.59,-0.58
190312,50.62,-1.55
190412,51.16,-1.01
190512,51.00,-1.17
190612,51.73,-0.44
190712,51.48,-0.69
190812,52.08,-0.09
190912,51.43,-0.74
191012,52.42,0.25
191112,52.03,-0.14
191212,50.23,-1.94
191312,51.54,-0.63
191412,51.84,-0.33
191512,51.45,-0.72
191612,50.85,-1.32
191712,50.06,-2.11
191812,51.87,-0.30
191912,51.55,-0.62
192012,51.07,-1.10
192112,53.80,1.63
192212,52.03,-0.14
192312,51.64,-0.53
192412,50.59,-1.58
192512,52.52,0.35
192612,51.95,-0.22
192712,52.15,-0.02
192812,51.92,-0.25
192912,50.85,-1.32
193012,51.98,-0.19
193112,53.54,1.37
193212,51.73,-0.44
193312,52.99,0.82
193412,54.10,1.93
193512,51.90,-0.27
193612,52.15,-0.02
193712,51.55,-0.62
193812,53.18,1.01
193912,53.26,1.09
194012,51.89,-0.28
194112,52.66,0.49
194212,51.84,-0.33
194312,52.07,-0.10
194412,51.83,-0.34
194512,51.75,-0.42
194612,52.95,0.78
194712,51.92,-0.25
194812,51.61,-0.56
194912,52.02,-0.15
195012,51.39,-0.78
195112,51.12,-1.05
195212,52.27,0.10
195312,53.37,1.20
195412,53.33,1.16
195512,51.69,-0.48
195612,52.34,0.17
195712,52.04,-0.13
195812,51.93,-0.24
195912,52.11,-0.06
196012,51.44,-0.73
196112,51.87,-0.30
196212,51.90,-0.27
196312,52.26,0.09
196412,51.67,-0.50
196512,51.69,-0.48
196612,51.49,-0.68
196712,51.76,-0.41
196812,51.32,-0.85
196912,51.50,-0.67
197012,51.61,-0.56
197112,51.66,-0.51
197212,51.37,-0.80
197312,52.29,0.12
197412,52.26,0.09
197512,51.50,-0.67
197612,51.47,-0.70
197712,52.55,0.38
197812,51.05,-1.12
197912,50.88,-1.29
198012,52.39,0.22
198112,53.12,0.95
198212,51.35,-0.82
198312,51.88,-0.29
198412,51.98,-0.19
198512,51.30,-0.87
198612,53.32,1.15
198712,53.33,1.16
198812,52.63,0.46
198912,51.84,-0.33
199012,53.51,1.34
199112,53.16,0.99
199212,52.60,0.43
199312,51.26,-0.91
199412,52.87,0.70
199512,52.65,0.48
199612,51.89,-0.28
199712,52.20,0.03
199812,54.23,2.06
199912,53.88,1.71
200012,53.27,1.10
200112,53.70,1.53
200212,53.21,1.04
200312,53.26,1.09
200412,53.10,0.93
200512,53.64,1.47
200612,54.25,2.08
200712,53.65,1.48
200812,52.29,0.12
200912,52.39,0.22
201012,52.98,0.81
201112,53.18,1.01
201212,55.28,3.11
201312,52.43,0.26
201412,52.54,0.37
201512,54.40,2.23
201612,54.91,2.74
